Counter,Date/time,Latitude,Longitude,Mag_x,Mag_y,Mag_z,Label1,Label2
1,2022-04-21 05:38:08.013238,-46.40919435194928,-90.91511757731449,1.3391406536102295,-2.212412118911743,-4.512149333953857,dark,other
2,2022-04-21 05:38:24.138337,-45.946504321273956,-89.65560878672679,2.4033124446868896,-4.300590991973877,-7.915128231048584,dark,other
3,2022-04-21 05:38:40.263087,-45.46464315631279,-88.40815064740335,3.377218246459961,-5.963129043579102,-10.607705116271973,dark,other
4,2022-04-21 05:38:56.370510,-44.96786489213163,-87.18315561480627,4.006249904632568,-7.095661640167236,-12.46258544921875,dark,other
5,2022-04-21 05:39:12.469331,-44.45722724597116,-85.98178863344751,4.654647350311279,-8.031365394592285,-14.098703384399414,dark,other
6,2022-04-21 05:39:28.556844,-43.93297221149974,-84.80315825865232,5.09250545501709,-8.761144638061523,-15.169144630432129,dark,other
7,2022-04-21 05:39:44.681463,-43.3957012880731,-83.64721639214135,5.486842632293701,-9.400389671325684,-15.756318092346191,dark,other
8,2022-04-21 05:40:00.810470,-42.844234174139274,-82.510261800234,5.707545280456543,-9.772032737731934,-16.225643157958984,dark,other
9,2022-04-21 05:40:16.931765,-42.28010874752789,-81.39438953294555,5.943484783172607,-10.095671653747559,-16.47733497619629,dark,other
10,2022-04-21 05:40:33.039649,-41.70420079097233,-80.30008065657194,6.128722190856934,-10.419563293457031,-16.650346755981445,dark,other
11,2022-04-21 05:40:49.137872,-41.11717924366606,-79.22731220247998,6.199848651885986,-10.598990440368652,-16.757211685180664,dark,other
12,2022-04-21 05:41:05.260669,-40.5193576023406,-78.17538947952906,6.197218894958496,-10.720441818237305,-16.671804428100586,dark,other
13,2022-04-21 05:41:21.369554,-39.90988250220206,-77.14171294825961,6.349109649658203,-10.975059509277344,-16.58269500732422,dark,other
14,2022-04-21 05:41:37.467780,-39.29058970684047,-76.12830954419016,6.435161113739014,-11.061076164245605,-16.44121742248535,dark,other
15,2022-04-21 05:41:53.606682,-38.66176977062467,-75.13447920414264,6.473891258239746,-11.199129104614258,-16.280834197998047,dark,other
16,2022-04-21 05:42:09.731739,-38.02177283560168,-74.15664369001172,6.438380718231201,-11.041775703430176,-16.02496910095215,dark,other
17,2022-04-21 05:42:25.845090,-37.37312146451953,-73.19770002715217,6.392516136169434,-11.055764198303223,-15.731350898742676,dark,other
18,2022-04-21 05:42:41.964281,-36.716095111427826,-72.25697673148925,6.441274642944336,-11.062104225158691,-15.653274536132812,dark,other
19,2022-04-21 05:42:58.066868,-36.05033647324408,-71.33296601825248,6.3097639083862305,-11.085637092590332,-15.42069149017334,dark,other
20,2022-04-21 05:43:14.209875,-35.3771057946754,-70.42643883240898,6.243677139282227,-11.17218017578125,-15.030608177185059,dark,other
21,2022-04-21 05:43:30.339475,-34.69433421938479,-69.53374578335976,6.225944995880127,-11.16450023651123,-14.662821769714355,dark,other
22,2022-04-21 05:43:46.439169,-34.00459192649705,-68.65741582679632,6.164843559265137,-11.193422317504883,-14.526154518127441,dark,other
23,2022-04-21 05:44:02.509233,-33.308916200161384,-67.79779790999433,6.051085472106934,-11.377747535705566,-14.3634672164917,dark,other
24,2022-04-21 05:44:18.641777,-32.60762254479521,-66.95431242792527,6.013010025024414,-11.509658813476562,-14.203283309936523,dark,other
25,2022-04-21 05:44:34.766288,-31.896943790072747,-66.12168424054556,6.006296634674072,-11.51816463470459,-13.872941017150879,dark,other
